iter,rho,rhou,rhov,E,time
1,1.0,1.0,1.0,1.0,4167.920827865601
2,0.5540717393058204,2.2023900720426615,1.5850063882439245,0.5647412080379908,2.325296401977539
3,0.3725567028870753,2.377989541050875,1.398578221276135,0.38001084754062886,1.546621322631836
4,0.48720270323004816,1.4928785653057237,0.9308881101390684,0.5052843619565772,1.5079975128173828
5,0.4052263442166729,1.244118520990198,0.8280249460521741,0.41973687020285205,1.5087127685546875
6,0.26856845940778395,1.313608428947915,0.7985173300347848,0.27616795481733086,1.5342235565185547
7,0.22692871025037475,1.0982131425914117,0.6472823116005163,0.2324447374467699,1.5153884887695312
8,0.20516348776763468,0.8343115688131724,0.5126181359817636,0.20906000650101525,1.5017986297607422
9,0.17601706056819477,0.7515175390887291,0.4205588580450326,0.179390035858102,1.4977455139160156
10,0.16252717262328853,0.753225746324471,0.3611138292437147,0.1658797367376371,1.4941692352294922
11,0.15345414762087814,0.7161657158201661,0.3535326178109864,0.1566368088307774,1.4891624450683594
12,0.14686308381701113,0.6668856104654234,0.34739304021195166,0.14995154944288697,1.4827251434326172
13,0.1447637488283244,0.6556268418609295,0.317808804672701,0.14759286140429875,1.5010833740234375
14,0.1435258575312407,0.6560958661771665,0.293545287666694,0.14609236250613944,1.4917850494384766
15,0.14339666131430773,0.6365641565147204,0.2856382394303547,0.14570599638668758,1.5027523040771484
16,0.14146435114755415,0.6141825392433925,0.28605738708778494,0.143642754603166,1.4858245849609375
17,0.13705996860663883,0.6022529878416557,0.2913573531998281,0.13910307319794832,1.4941692352294922
18,0.1365648871227576,0.5803176209763913,0.2932595374108755,0.1384625807924276,1.4836788177490234
19,0.13851823979533331,0.5530449292486835,0.2910574211616709,0.14038591561781152,1.4836788177490234
20,0.13646317426948756,0.5510409918915361,0.29098250794499214,0.13829213218601064,1.476287841796875
21,0.1334788567597876,0.5531387556394161,0.2870642994465418,0.13523117313161997,1.4946460723876953
22,0.1327618589706633,0.5349709055754013,0.27609629276204795,0.13434556494517735,1.4870166778564453
23,0.12905998235284158,0.5246164816479596,0.26882448281856314,0.130489472080469,1.5106201171875
24,0.12121902977805082,0.5265155548512055,0.2668464773804591,0.12272411179493133,1.5976428985595703
25,0.11468554160457199,0.5101297999266983,0.2613588999813811,0.11623501494979217,1.5118122100830078
26,0.10854160591835228,0.4894506858211228,0.2554480450063249,0.11006561241527653,1.4910697937011719
27,0.09952118593878886,0.4888163939773833,0.25517782296897124,0.10112283718970086,1.4886856079101562
28,0.09343260136501665,0.48489414107174544,0.2544406578164322,0.09510674212621423,1.4834403991699219
29,0.09388560300550157,0.47067825819891557,0.249884998850333,0.09548436118644352,1.482248306274414
30,0.09492591245812163,0.4741288016594515,0.24589476464815613,0.096457351138923,1.4801025390625
31,0.09558620725923632,0.48740926274619956,0.24208669909688946,0.0971905933491558,1.4960765838623047
32,0.09916236974303533,0.4846367759074165,0.23664745136049872,0.10083353170808217,1.486063003540039
33,0.10445515080558622,0.4717893664046598,0.2318663418951492,0.10602962499945995,1.5101432800292969
34,0.10967515446147474,0.4603305241384947,0.2287036218504986,0.11115631189460294,1.4851093292236328
35,0.1137785035403522,0.4494156767376117,0.2259868525644023,0.11526673326472368,1.4941692352294922
36,0.1149724101643206,0.4419310882919505,0.22286902790222296,0.11648120835675163,1.4781951904296875
37,0.11426810388324837,0.43691122008681343,0.21794455576765548,0.11573824339511297,1.4803409576416016
38,0.11329775103987666,0.4276825517802141,0.2127820454656343,0.11478540727922487,1.4882087707519531
39,0.10992932579115447,0.4210218534163878,0.21077619561930422,0.11147751127750179,1.4886856079101562
40,0.10396582204543409,0.418137660908793,0.20923912216924936,0.10551129023331826,1.4889240264892578
41,0.0989097996274626,0.4046660433819472,0.2053795882874556,0.10038234796366118,1.4874935150146484
42,0.09350792524441763,0.3863341488321211,0.20366457157880435,0.09490637821508424,1.4832019805908203
43,0.08440394350385283,0.38550937677475233,0.20473273532855193,0.08575719741037025,1.481771469116211
44,0.07528272772138848,0.3954465283807728,0.20234896750443448,0.07662921830581286,1.4858245849609375
