iter,cl_p,cd_p,cmz
50,0.3454787037600575,-0.6552219113793157,-0.887770930375485
100,-3.7771003281058086,1.269115272435189,0.8028538392405192
150,1.3015641589876215,-0.5647256957774078,-0.4643158017174353
200,-2.8815901893208498,0.4986868135773162,0.4934296267440324
250,-0.8454647065936596,0.06577811853806384,0.06860932704860905
300,-0.9338219235255628,-0.038846175805852874,-0.41474926716150295
350,-2.814414761400311,0.6986112972849173,0.4401770331171603
400,-0.02146725895156862,-0.39781655110633357,-0.35197045220646117
450,-3.0493219382604675,0.7753432368778415,0.43928939962920294
500,-0.746172508419819,-0.05775644748749687,-0.09121286151394374
550,-2.347024314391614,0.363680126565385,0.13305544044364123
600,-1.6067111926641586,0.3115156967925346,0.023957921921977095
650,-1.6327894564624275,0.14145623530538648,0.008719499083967295
700,-2.3801255663515257,0.46264877223724826,0.3071209659655377
750,-1.4764864337001908,0.12089994752960212,0.07246807889558919
800,-2.5995806320785273,0.5542042167192156,0.2854187055728485
850,-1.910245659695432,0.33666179078860253,0.25149347440774206
900,-2.4042323973264716,0.49374169108313426,0.3349146079803841
950,-2.551507858519322,0.6266239424564168,0.47576642702798067
1000,-2.4028565881284654,0.5522878310886798,0.4939265186693367
1050,-2.9110463426390467,0.7845124575075745,0.7072025801946921
1100,-2.5013419317544794,0.7137974128214047,0.6718673458158324
1150,-2.3734629765144617,0.7086887805274747,0.6635536704604399
1200,-1.74734112346501,0.604834410301269,0.6470862567037299
1250,0.018366151150797008,0.07375380201959834,0.1498841208057877
1300,0.5595484213954771,-0.08960009812385827,-0.19316583997656953
1350,0.30330628378857527,-0.01168782386272198,-0.06325423832576198
1400,-0.07903733338544953,0.07997826504965823,0.01061768763110371
1450,-1.6975379732479878,0.6679859665297548,0.6326611006674878
1500,0.03343909941642329,0.15462106342405746,0.05123979851325288
1550,0.37388209656318394,-0.020336495209033703,-0.18627254065645968
1600,-0.25332524507626003,0.06697918085889981,-0.0330307558281867
1650,-0.4764739184489699,0.13513322764449764,-0.03534901209520102
1700,-0.7028498839411209,0.21793268007229968,-0.027561287240736306
1750,-0.10160154611678224,-0.060573526342036936,-0.1284868105509165
1800,-0.8721272081167645,0.2161645964364843,0.0032311822235911443
1850,-0.7043016737804276,0.14851822473609358,-0.03810445678014695
1900,-0.8543850821922033,0.13335215061034691,0.00977559645845699
1950,-1.1264570850019964,0.20076387509673613,0.025294408689921496
2000,-1.092185311104332,0.1813652319850135,0.01583500434352569
2050,-1.1127020292232093,0.14864439476424074,-0.00425215246999816
2100,-1.381079768787393,0.22940152041535555,0.08455142055601715
2150,-1.2497920012847443,0.18352802360506926,0.03909354808547399
2200,-1.5613603161739658,0.26209205998052804,0.12901878045562806
2250,-1.4603460551346088,0.21878351136593838,0.10974171082710897
2300,-1.54224668109859,0.2356253120281101,0.11775423902043307
2350,-1.5600507661298655,0.2527710831203688,0.1299032937539801
2400,-1.5113842091615148,0.23390976350967865,0.13376232683097314
2450,-1.5290573620236798,0.26870604040990265,0.13693902051150894
2500,-1.1975102903158168,0.16125510587975697,0.06391969670135471
2550,-1.0113486214571374,0.10404710436126262,-0.03159410648866378
2600,-0.798151387763069,0.08240608694562702,-0.04114255429976953
2650,-1.4493744778400655,0.35157276402991283,0.237327014695525
2700,-2.025284182320203,0.5997290158204451,0.47327592708372024
2750,-1.393154885363159,0.35915200297151073,0.296785607439233
2800,-1.0635407617042048,0.18442963211418203,0.08887348833131885
2850,-0.013730241600273876,-0.1889258732590729,-0.25572317085384705
2900,-0.4988656218596708,-0.0007998114849006986,-0.11189913868953903
2950,-1.2815742283379095,0.3557882513456029,0.2525462949450746
3000,-1.156719680352604,0.30318962064076277,0.12213035408147192
3050,-0.32440774215124896,-0.02871152638418792,-0.14355545272942968
3100,-0.6622840814936135,0.08459429085790374,-0.061305009108188195
3150,-1.0781801077903927,0.22177211020590318,0.08287326906839391
3200,-1.417658052157885,0.30477682665426875,0.14833164500315518
3250,-0.8259080689797876,0.08259519236383256,-0.0658051861728917
3300,-1.3845699678913417,0.2671312595560716,0.14012276139436505
3350,-1.1546597627615338,0.17293006717822876,0.05534029084406366
3400,-0.8068716156104812,0.02405478184236546,-0.13754455945825664
3450,-0.7105675506162752,0.026789168557026947,-0.10813215063222857
3500,-1.1593514625425547,0.16339583574641717,0.043428778795308313
