iter,cl_p,cd_p,cmz
50,0.6110514790963832,-0.550765306284534,-0.5768103312614444
100,-2.7294452239843308,0.5153197023820544,0.5939911566507721
150,1.791616612365082,-0.25633104514911653,-0.6121213873034075
200,-1.3720082048014157,-0.18731411771628353,0.2222118799949893
250,-1.1798377812505385,0.3068163208681938,0.2796383914731803
300,0.2959786026410708,-0.06846742713905218,-0.4819346349355241
350,-1.7756869745786148,0.07322773721314778,0.22735343228771768
400,-0.24717655043149167,0.10119155770797822,-0.14271064577673073
450,-0.8147511179322984,0.1617480085669462,-0.11594218602132832
500,-1.067531325125241,-0.042440099604271926,0.2033527919098332
550,-0.586104517720278,0.034189413147776265,-0.12372584184649481
600,-1.102788822987358,0.11334283391198433,0.020931535228703443
650,-0.553908574777706,-0.1539446161206415,-0.06027842386156917
700,-0.9056019446924095,0.054512542747622954,-0.04210260871641141
750,-0.8787360329502338,0.0936768871642469,0.011064201682794981
800,-0.6374356333815714,-0.07705007424782664,-0.08093876287918882
850,-1.231643649780277,0.13412459031972399,0.07945764399258508
900,-0.6246040058265193,0.06882775944260891,-0.0933948046784011
950,-1.0197380143874428,0.012110436460756756,0.02068182979747118
1000,-0.9654888634405747,0.08740765787408525,0.04349883005382859
1050,-0.7797642498531283,0.050044406855903445,-0.0472934193567101
1100,-1.0362569940460975,0.02386323472086389,0.05302870053141145
1150,-0.8493773078263149,0.029194436006837757,0.0051457208099209275
1200,-0.8709981106462579,0.05833888975976284,-0.01935956775611924
1250,-0.9212368164287772,0.019297789877825013,0.04250838994813016
1300,-0.8209531554254909,0.03884958068285995,-0.004604421141990444
1350,-0.9271301477366812,0.08349940163540276,0.028124706639771898
1400,-0.8125094871846202,0.03745249153786743,0.015047747665322684
1450,-0.8618928301882145,0.06136152220110648,0.01605959367300402
1500,-0.8294662507884023,0.08693507440449108,0.019787934936675574
1550,-0.7296452132599838,0.03905401211703431,0.0018944699781170413
1600,-0.8036297480570602,0.05928870805302904,0.026009388348895154
1650,-0.6563809719388533,0.06822259328923685,0.001140530964258146
1700,-0.6319642171220541,0.04354706805528835,-0.02172234514249832
1750,-0.40163149941431203,0.00684272286045987,-0.10558455006858951
1800,-0.5184483013479702,0.050312485065819264,-0.00865900808487696
1850,-0.6085737658014786,0.05339656501188299,0.022616189834881447
1900,-0.7571352000714155,0.10700605154265527,0.08332616444141348
1950,-0.24816534893010636,0.018039006327840577,-0.13920173581609682
2000,-0.38616889935082394,0.008840829132715281,-0.09412968213607097
2050,-0.5224902626663024,0.06352422212721355,0.014709604951135267
2100,-0.5401544547398277,0.06482604374960155,-0.01678859018001549
2150,-0.46304706737030454,0.04265666486451412,-0.044014693783198104
2200,-0.19074398160858205,-0.003131654829485893,-0.14548343371137415
2250,-0.36166254250107216,0.03094165199186971,-0.0756524259780622
2300,-0.3843542179720106,0.016454226142267162,-0.03840436454717044
2350,-0.4783320792416077,0.06180427352464673,-0.031783541247475115
2400,-0.2084792565216233,-0.0025554355113050786,-0.14058268608770488
2450,-0.34432964435004765,0.014183036234683553,-0.08195846004249162
2500,-0.3958209376483115,0.03349780267479321,-0.05853440041665713
2550,-0.4117649454340634,0.03491071009903059,-0.07056593778620306
2600,-0.35414202143678514,0.016959816433179845,-0.07356277458496484
2650,-0.5081782026011131,0.040050595977184314,-0.038298959145213744
2700,-0.4549689636217628,0.033395661355628645,-0.057363865439857824
2750,-0.5026164416498112,0.027351094295143038,-0.04282563836363606
2800,-0.5283479082176901,0.03363094747944364,-0.047221683301375265
2850,-0.5341309187771895,0.030948226931538713,-0.04256089377966953
2900,-0.5518945137629165,0.029335321928406665,-0.04870633495189652
2950,-0.5778629497339112,0.030934046208627497,-0.04088603029620135
3000,-0.56336412243686,0.03231641153800187,-0.054225241197651534
3050,-0.5763610987268295,0.027413967051226652,-0.051245341887934386
3100,-0.5859698182582982,0.030625350912129024,-0.050965869529379086
3150,-0.5824551011534529,0.03036767638112785,-0.054533393737507534
3200,-0.6012593951660182,0.0292765725152756,-0.05045056737376651
3250,-0.5979758438872222,0.028586952920963582,-0.050742539935737234
3300,-0.6158245665843972,0.03147918129782888,-0.05017038452788391
3350,-0.6182277895293523,0.030183974486996584,-0.04379110711630884
3400,-0.6263750266842718,0.029851488000851245,-0.05006812499991908
3450,-0.6556489929145971,0.03710285752816822,-0.03144059974669044
3500,-0.6193717834528133,0.027904476769538215,-0.05626253610846176
3550,-0.7030545923539083,0.04172451154380781,-0.016248986753326918
3600,-0.6030684665001943,0.026755331553852367,-0.06346236759705996
3650,-0.7442753468064204,0.046438797941452274,-0.005445068192162782
3700,-0.5869191661211587,0.023505389371746472,-0.06670692980982328
3750,-0.7689501753732952,0.0495149528927791,-0.0013482472746934036
3800,-0.5828896788936346,0.023527186053990005,-0.06581358693934224
3850,-0.767128278611034,0.04758712705109722,-0.0030029314135260328
3900,-0.5960397609818909,0.026405149265425715,-0.062080881180255613
3950,-0.7493433829938162,0.04630983063448911,-0.005699200512931934
4000,-0.6109550158152065,0.027693266064114215,-0.06002800681342151
4050,-0.7313819910636415,0.04687302543289106,-0.0063143791232997395
4100,-0.6244675932543247,0.029430132918262228,-0.05767186942979007
4150,-0.6995756818584573,0.04476016691480083,-0.012959009829266453
4200,-0.6539547537196067,0.034405119983073336,-0.044463692860542685
4250,-0.6364812814405687,0.0376109400138051,-0.0326920880799511
4300,-0.695164950278651,0.04232796515891564,-0.01990540745961805
4350,-0.5742294680714873,0.02614412112171288,-0.05305946698439811
4400,-0.7066215854463608,0.04486150857858614,-0.00933884856983702
4450,-0.5739542247816213,0.022827978857531794,-0.06216019244244391
