iter,cl_p,cd_p,cmz
50,0.5500845470701075,0.10751774241651459,-0.15907967869323994
100,0.642695269453361,0.06832839559720778,-0.1333832914950178
150,0.8151122675134326,0.0008132864217243743,-0.14213805376849378
200,0.7866916791611807,0.04752727504083593,-0.11527433399783209
250,0.6933696038293558,0.014369585222776617,-0.08148392859102237
300,0.6494520334869455,0.028366980204892284,-0.04841119618275574
350,0.5428103363776623,0.0005382773371724483,-0.037469776854417984
400,0.4905534741864735,0.011441843359774027,-0.0036602750361339194
450,0.3962418264971109,-0.003868937205715315,0.019880642439530635
500,0.361114549366261,0.002337053492648285,0.025121725450488738
550,0.3544756779692417,-0.0022390299399843304,0.023495865605498153
600,0.35361860602626816,0.0017007379278836362,0.018835232277139565
650,0.3565019037967246,-0.0011813311271287727,0.018439801337973013
700,0.368508969235155,0.0011675204463633196,0.015252320653301453
750,0.37343240668138616,-0.00018568556450676712,0.012861707339310855
800,0.38055014011258503,0.0010334220351033152,0.012099867689699393
850,0.3859918915143828,0.000561017161021897,0.01056905744754033
900,0.3894966600301605,0.0011517827585562574,0.01009588951828566
950,0.39266614409217443,0.0009708564362873627,0.010212945957477347
1000,0.395184753236246,0.0012654369736490934,0.00994113513854422
1050,0.39685074168377665,0.0011378986596950853,0.010183316741126101
1100,0.3990187777500149,0.0012678975327377314,0.010178337884057807
1150,0.4010002935255613,0.001170994380533698,0.01012391246045241
1200,0.403059857262843,0.0011646689892880575,0.01005700418570815
1250,0.4060794308594639,0.001136509066014967,0.009487867206854626
1300,0.41049482059745007,0.0012373497539683205,0.008242080062856314
1350,0.4167958181757386,0.0013941511398079833,0.006357974188822556
1400,0.42486204804121036,0.0016107941545187622,0.003991599858062244
1450,0.4337369623652798,0.0017717661430161301,0.0016671910412935362
1500,0.4422683367508171,0.001834625743348003,-0.00018779336585644788
1550,0.44964190547338045,0.0017804249507353453,-0.0014710279775259625
1600,0.45555663894569726,0.001656753860817061,-0.0022929061751802977
1650,0.46015529450847104,0.0015099770578630258,-0.00282147874500066
1700,0.4636983970860898,0.0013731673154243427,-0.00319258533752198
1750,0.46649265391572553,0.0012587418980054299,-0.0034792775265871097
1800,0.4687946783127797,0.0011685670746761766,-0.0037259039745926588
1850,0.47075918186192073,0.0010975359476257636,-0.003948880587213709
1900,0.4724632506015991,0.0010397920402530866,-0.004145903612952361
1950,0.47394146868211046,0.0009906345264115031,-0.004312125404490329
2000,0.4751963820005251,0.0009458463330400428,-0.00444045772787227
2050,0.4762315877976628,0.0009038005156598417,-0.004527171406612517
2100,0.47705797340536804,0.000863965141135937,-0.004575836067927107
2150,0.47769881119238594,0.0008271687957068208,-0.004594031235402584
2200,0.4781900895308234,0.0007944184595709702,-0.0045922275904219925
2250,0.47857408842192173,0.0007666505769562094,-0.004581731123376453
2300,0.4788920041004023,0.0007441355369593249,-0.004572017566792374
2350,0.4791812107104304,0.0007268818443480111,-0.004570825603475436
2400,0.47947194098562934,0.0007144779973164906,-0.004584003375550371
2450,0.4797874457094732,0.0007064585150762133,-0.004615555948027371
2500,0.4801444920016527,0.000702235482634918,-0.004667881880113244
2550,0.4805532457292546,0.0007011563559112283,-0.004741533700379496
2600,0.481017018565986,0.0007024004619739371,-0.004834879097313781
2650,0.48153203548784557,0.000705016113634107,-0.004944164557951768
2700,0.4820876453200568,0.0007079493685751274,-0.0050638819764359235
2750,0.48266802687471705,0.0007102297275787951,-0.005187680390239534
2800,0.4832548235172517,0.0007111164680722307,-0.005309497596441003
2850,0.48383012483168947,0.0007102231184186893,-0.005424481065186003
2900,0.4843790048520945,0.0007075237110896171,-0.005529480754376536
2950,0.4848909335633544,0.000703277311032466,-0.005623054168772678
3000,0.48535998398601704,0.0006978950458739717,-0.00570509192061308
3050,0.4857841544965133,0.0006918187320890718,-0.005776320806655243
3100,0.4861642178590889,0.0006854303678481966,-0.00583784209785415
3150,0.4865025549856313,0.0006790136583915299,-0.005890803203278948
3200,0.48680223991610705,0.0006727515457010837,-0.005936227253949821
3250,0.4870664632097408,0.0006667473452912433,-0.005974965132593545
3300,0.4872982782638597,0.0006610528565805604,-0.006007724410223013
3350,0.4875005732294879,0.0006556944802452027,-0.006035134366656757
3400,0.4876761544345127,0.0006506910066287004,-0.006057808893079885
3450,0.4878278518275857,0.0006460628524946163,-0.006076388053183334
3500,0.48795858280674825,0.000641833325439274,-0.006091550707594539
3550,0.48807134927938495,0.0006380251258956099,-0.006104000513555695
3600,0.48816917491088935,0.0006346550249017328,-0.006114435512388771
3650,0.4882550036136603,0.0006317291459361437,-0.006123512180641887
3700,0.488331586095441,0.0006292401100376331,-0.006131812071648312
3750,0.4884013766897189,0.0006271663532782241,-0.006139816316422241
3800,0.4884664537928205,0.0006254732051615327,-0.006147889849709986
3850,0.4885284706381224,0.0006241152560400797,-0.006156275635438301
3900,0.4885886383481488,0.0006230395700917455,-0.006165098640775745
3950,0.4886477400295773,0.0006221894075827416,-0.006174378614171027
4000,0.48870617279644074,0.0006215081455740738,-0.006184050033315735
4050,0.4887640121123375,0.0006209430057374501,-0.0061939867306612375
4100,0.4888210904634596,0.0006204481562758308,-0.0062040279360214825
4150,0.4888770809118092,0.0006199868115340316,-0.006214002413942875
4200,0.48893157601084825,0.0006195321177284742,-0.006223748002677497
4250,0.4889841543108619,0.000619066847924147,-0.006233125004861949
4300,0.48903442978650874,0.0006185821517266977,-0.006242023237194859
4350,0.4890820829998788,0.0006180757377706869,-0.006250363667130442
4400,0.4891268758649542,0.0006175498942726375,-0.006258096224212583
4450,0.4891686538423734,0.0006170096797637782,-0.006265195531633682
4500,0.4892073400672507,0.0006164614888778055,-0.006271656045135631
4550,0.4892429255126886,0.0006159120623161372,-0.006277487601001607
4600,0.4892754582226476,0.0006153679023594219,-0.0062827118531144635
4650,0.489305033355326,0.0006148349916358458,-0.0062873596472653994
4700,0.4893317846471635,0.0006143186949143417,-0.006291469111398273
4750,0.48935587712807593,0.0006138237393329671,-0.006295084138886741
4800,0.4893775005585192,0.0006133542025732501,-0.006298252971814743
4850,0.48939686304258395,0.0006129134764152271,-0.006301026697452804
4900,0.4894141844748467,0.0006125042039765986,-0.0063034575998127665
4950,0.48942968976189727,0.0006121282081300656,-0.0063055974169362585
5000,0.4894436020119047,0.0006117864348362094,-0.006307495622748237
5050,0.4894561360491481,0.0006114789328293701,-0.00630919787575207
5100,0.48946749266182216,0.0006112048824249547,-0.006310744763471376
5150,0.48947785394993504,0.0006109626765730073,-0.006312170934326399
5200,0.4894873800320409,0.0006107500485904806,-0.006313504660182544
5250,0.4894962072304052,0.0006105642342093343,-0.006314767823845101
5300,0.4895044477070902,0.0006104021520551325,-0.006315976282617041
5350,0.4895121903983375,0.0006102605856733263,-0.006317140527759001
5400,0.48951950299731134,0.0006101363514193724,-0.0063182665413857855
5450,0.48952643467739865,0.0006100264397766735,-0.006319356748592241
5500,0.48953301923565196,0.0006099281222914518,-0.006320410972064649
5550,0.48953927835561967,0.0006098390207908456,-0.006321427314857907
5600,0.48954522474183887,0.0006097571405964024,-0.006322402921186964
5650,0.48955086494491795,0.0006096808725114892,-0.006323334590226103
5700,0.48955620176869735,0.0006096089710422331,-0.006324219238748595
5750,0.4895612362172884,0.0006095405165902971,-0.006325054225338188
5800,0.48956596898939597,0.0006094748691926052,-0.006325837557201452
5850,0.4895704015627174,0.0006094116196469786,-0.006326568004083598
5900,0.4895745369282353,0.0006093505423796191,-0.0063272451425108725
5950,0.4895783800352994,0.000609291552404151,-0.006327869348997372
6000,0.4895819380063902,0.0006092346674124328,-0.006328441756429936
6050,0.48958522016842604,0.0006091799750897995,-0.006328964183105467
6100,0.48958823793964146,0.000609127605153886,-0.006329439041312389
6150,0.4895910046036553,0.0006090777057903366,-0.00632986923049944
6200,0.48959353499660935,0.0006090304238051907,-0.00633025801980852
6250,0.4895958451337031,0.0006089858885713434,-0.006330608925099456
6300,0.4895979517988924,0.0006089441994771122,-0.006330925586124635
6350,0.4895998721222696,0.0006089054170884421,-0.006331211649278356
6400,0.48960162316917427,0.0006088695578721899,-0.006331470661784243
6450,0.4896032215611159,0.000608836592472451,-0.006331705981524326
6500,0.48960468314757766,0.0006088064470549695,-0.006331920705968107
6550,0.4896060227402237,0.0006087790074782484,-0.006332117622002974
6600,0.4896072539174127,0.0006087541254189587,-0.0063322991764522265
6650,0.4896083889011173,0.0006087316260209115,-0.006332467466274582
6700,0.4896094385016994,0.000608711316027991,-0.006332624245616868
6750,0.4896104121253206,0.0006086929921181695,-0.006332770946675114
6800,0.48961131783206197,0.0006086764485647329,-0.006332908710522666
6850,0.4896121624341751,0.0006086614840115069,-0.006333038424352621
6900,0.4896129516216146,0.0006086479069538614,-0.006333160761881617
6950,0.4896136901047983,0.0006086355399720609,-0.006333276224020078
7000,0.48961438176301836,0.0006086242225408098,-0.006333385177764716
7050,0.489615029791671,0.0006086138126748064,-0.006333487891728439
7100,0.4896156368408848,0.0006086041874725236,-0.006333584567327909
7150,0.48961620514218773,0.0006085952427622274,-0.0063336753652346025
7200,0.48961673661935956,0.0006085868921305923,-0.0063337604268701156
7250,0.48961723298335147,0.000608579065463346,-0.006333839891189962
7300,0.48961769580926656,0.0006085717071046037,-0.006333913906955701
7350,0.4896181265969264,0.000608564773836928,-0.006333982641014423
7400,0.4896185268163783,0.0006085582329678331,-0.006334046282986671
7450,0.4896188979381204,0.0006085520601522157,-0.00633410504694426
7500,0.48961924145206104,0.0006085462376056781,-0.006334159170526265
7550,0.4896195588739311,0.0006085407522131794,-0.006334208912057992
7600,0.4896198517449515,0.0006085355940522092,-0.006334254546243311
7650,0.48962012162336094,0.0006085307549629331,-0.006334296358957713
7700,0.4896203700717792,0.0006085262275000922,-0.006334334641451555
7750,0.4896205986414201,0.0006085220039990497,-0.006334369684639351
7800,0.4896208088551322,0.000608518076028494,-0.006334401773627762
7850,0.4896210021901577,0.0006085144339202609,-0.006334431182851429
7900,0.48962118006334426,0.0006085110666495997,-0.00633445817205952
7950,0.48962134381703,0.0006085079617672647,-0.006334482983126609
8000,0.48962149470897465,0.0006085051055407,-0.0063345058379446475
8050,0.4896216339045612,0.0006085024831736028,-0.006334526937110118
8100,0.48962176247273104,0.0006085000791108598,-0.006334546459627054
8150,0.48962188138420804,0.0006084978773227265,-0.006334564563212352
8200,0.4896219915133864,0.0006084958617033512,-0.006334581385336601
8250,0.48962209364138093,0.0006084940163313291,-0.006334597044682643
8300,0.4896221884619069,0.0006084923257511566,-0.006334611642958009
8350,0.48962227658810364,0.0006084907752841828,-0.006334625266862791
8400,0.48962235855985886,0.0006084893511255873,-0.006334637990199065
8450,0.4896224348525588,0.0006084880405412222,-0.006334649875934516
8500,0.4896225058851187,0.0006084868319457381,-0.006334660978163375
8550,0.4896225720279682,0.0006084857149178145,-0.00633467134390081
8600,0.4896226336110194,0.0006084846802191672,-0.006334681014744103
8650,0.48962269093018007,0.0006084837197299843,-0.0063346900282187915
8700,0.489622744254014,0.0006084828264234327,-0.00633469841892914
8750,0.4896227938287948,0.0006084819942462378,-0.0063347062195365225
8800,0.48962283988280775,0.0006084812180113153,-0.0063347134613617176
8850,0.48962288263045084,0.0006084804933119998,-0.00633472017496639
8900,0.48962292227452386,0.0006084798163976785,-0.006334726390398725
8950,0.4896229590084714,0.0006084791840347189,-0.006334732137366904
9000,0.48962299301784684,0.0006084785934817813,-0.006334737445239102
9050,0.48962302448093065,0.0006084780422821203,-0.00633474234302822
9100,0.48962305356947516,0.000608477528283191,-0.006334746859211481
9150,0.48962308044837705,0.0006084770495064636,-0.006334751021551398
9200,0.4896231052759552,0.0006084766041165746,-0.006334754856916757
9250,0.4896231282033254,0.0006084761903377681,-0.0063347583911188545
9300,0.48962314937425455,0.0006084758064833584,-0.006334761648661701
9350,0.4896231689247043,0.0006084754508779974,-0.00633476465269761
9400,0.4896231869824468,0.000608475121873199,-0.00633476742480099
9450,0.4896232036673226,0.000608474817857669,-0.0063347699849974895
9500,0.4896232190904772,0.0006084745372010369,-0.006334772351698769
9550,0.48962323335478425,0.0006084742783244732,-0.006334774541671972
9600,0.4896232465550262,0.000608474039675454,-0.006334776570131317
9650,0.4896232587779541,0.0006084738197652266,-0.006334778450775568
9700,0.48962327010269885,0.0006084736171286173,-0.006334780195900446
9750,0.4896232806010777,0.0006084734303717268,-0.006334781816484668
9800,0.48962329033835006,0.0006084732581847828,-0.006334783322335668
9850,0.4896232993738197,0.0006084730993657508,-0.006334784722206165
9900,0.4896233077606458,0.0006084729527373985,-0.006334786023878824
9950,0.48962331554739547,0.0006084728172540405,-0.006334787234352212
10000,0.48962332277796045,0.0006084726919511118,-0.0063347883599448864
10000,0.48962332277796045,0.0006084726919511118,-0.0063347883599448864
50,0.5500845470701075,0.10751774241651459,-0.15907967869323994
100,0.642695269453361,0.06832839559720778,-0.1333832914950178
150,0.8151122675134326,0.0008132864217243743,-0.14213805376849378
200,0.7866916791611807,0.04752727504083593,-0.11527433399783209
250,0.6933696038293558,0.014369585222776617,-0.08148392859102237
300,0.6494520334869455,0.028366980204892284,-0.04841119618275574
350,0.5428103363776623,0.0005382773371724483,-0.037469776854417984
400,0.4905534741864735,0.011441843359774027,-0.0036602750361339194
450,0.3962418264971109,-0.003868937205715315,0.019880642439530635
500,0.361114549366261,0.002337053492648285,0.025121725450488738
550,0.3544756779692417,-0.0022390299399843304,0.023495865605498153
