iter,rho,rhou,rhov,E,time
1,1.0,1.0,1.0,1.0,8980.691909790039
2,0.4779935818703154,1.3828035450928937,1.163370698601378,0.4882342430557404,4.677772521972656
3,0.5008112472122036,1.1069545591352759,0.8389548406131517,0.5168018379081758,3.6771297454833984
4,0.5016750562325868,0.8955706009146784,0.7742206080539897,0.5221477591306232,5.326032638549805
5,0.3579538244733495,0.881033187600791,0.7365221045727407,0.3687209981856619,5.969047546386719
6,0.36363636875104427,0.7305409076560828,0.6303234873739559,0.37242260213991624,5.920886993408203
7,0.33311873993398594,0.6469519878380102,0.6327387629709867,0.3382693118681803,3.5500526428222656
8,0.342034887751395,0.6017482436659135,0.6230607740381003,0.34551561044126716,3.4508705139160156
9,0.3502098641970133,0.6058762859082611,0.6363125884666738,0.3541209731026463,4.050970077514648
10,0.337843403784488,0.583497098321662,0.630918614120725,0.342267447057126,3.62396240234375
11,0.32639967656461516,0.5367047194655492,0.6063633524377301,0.3311242675084471,3.6859512329101562
12,0.32095004116466846,0.5488250057373806,0.6114794883737821,0.32602502279881435,3.543853759765625
13,0.3238498584049663,0.5510918669808983,0.6377431623830773,0.3293299218360246,3.4782886505126953
14,0.3195993197354391,0.5109534189608439,0.6228315681672582,0.32451505288980154,3.6852359771728516
15,0.30246218689570964,0.48051935219481356,0.558557781227888,0.30704521925518463,4.87208366394043
16,0.281724089183938,0.4741032881538315,0.5074231051253522,0.28646568434376946,6.084918975830078
17,0.2658374546043259,0.47315445812334617,0.49022617288098025,0.2704344460057337,5.9528350830078125
18,0.2511621331782975,0.46295511076096,0.46455048237459967,0.2558954592650351,4.828929901123047
19,0.23405872174228784,0.4424743271417221,0.4188892912075642,0.23918475866036387,4.097223281860352
20,0.22039080112761275,0.4306576147495197,0.3847511478326105,0.2255857780073031,3.6280155181884766
21,0.2102126964641753,0.4324796323496971,0.36563749404256385,0.21523618156583602,3.5886764526367188
22,0.20003598383940982,0.43155156010861684,0.3378931430922406,0.20503252903534114,3.5715103149414062
23,0.19195161534203212,0.42444652506158603,0.30794709641864376,0.19718027568339194,3.484964370727539
24,0.18584495173174476,0.418724120501487,0.2887425580492628,0.1912474344626649,3.5157203674316406
25,0.17908467584114984,0.4160480124072818,0.2737599726016919,0.18459621310690164,3.4093856811523438
26,0.17254418570583108,0.41426793481452034,0.25897776035997877,0.17818638640626822,5.902528762817383
27,0.16886414482146464,0.41427233141411607,0.24848665582877266,0.17463562095704985,6.040334701538086
28,0.16747494023734957,0.417359770086182,0.24179895620991532,0.17338367846323224,4.550695419311523
