iter,rho,rhou,rhov,E,time
1,1.0,1.0,1.0,1.0,4358.126163482666
2,0.5589735419539413,2.1767825838295285,1.6504030850587736,0.5734104752851669,2.402067184448242
3,0.35888275818725335,2.317498876219191,1.4839935200662926,0.36924454453655947,1.5909671783447266
4,0.4777347673108414,1.5641677806448424,1.0142483363447434,0.5000198753510482,1.5559196472167969
5,0.4215259159699302,1.2467812605270079,0.860105870180223,0.43955591118577114,1.5544891357421875
6,0.30631443051568114,1.1862343417292507,0.8561121948542882,0.3155424452067129,1.5387535095214844
7,0.24686904602131773,1.0092416528102575,0.7726545862690946,0.25322960060386174,1.5783309936523438
8,0.2020562063882332,0.8728472082151181,0.6569464394627454,0.20750788504478473,1.5578269958496094
9,0.17843804076158287,0.8431425127794276,0.5256250590986715,0.1825393307470221,1.5475749969482422
10,0.18976765300812498,0.8005440151349232,0.4103073738288071,0.1933980131162049,1.5380382537841797
11,0.1869967881450856,0.7487966185275652,0.3839911507612068,0.19127325591606945,1.539468765258789
12,0.16494069403821485,0.7453037719359009,0.3992513628671028,0.1697733459037848,1.5425682067871094
13,0.15339163393520866,0.7600103630932289,0.3829692287637699,0.15781173937501133,1.5490055084228516
14,0.15790848219784712,0.7465964655374233,0.34701701329849977,0.16184866238386478,1.5544891357421875
15,0.15902241589132876,0.7121779647421773,0.3325625225493534,0.16265215671309746,1.5325546264648438
16,0.15048424260955764,0.687206210927959,0.34313407967400694,0.15377074191566745,1.5330314636230469
17,0.14273288370813733,0.6744419236040883,0.3527118137286592,0.14594104215355744,1.5311241149902344
18,0.14459527676703274,0.6551707403680319,0.34798222982242255,0.14755905361196817,1.5418529510498047
19,0.14933947605891984,0.624843506615036,0.33553180466103627,0.15186451024998576,1.5485286712646484
20,0.14677116268241885,0.5973778322598846,0.326635142165634,0.14907982464828906,1.57928466796875
21,0.13876522681987866,0.578812284005278,0.3216834623486937,0.14102764244760735,1.5456676483154297
22,0.13363569294027025,0.564854032290724,0.31344523204313557,0.13578457708644495,1.5361309051513672
23,0.1309142456707554,0.5556186158184031,0.30198367290675643,0.13295344285248215,1.5277862548828125
24,0.12411960589333991,0.5483150173583722,0.294615636904482,0.1261665409193573,1.5377998352050781
25,0.11349656272556952,0.5333291679385047,0.29208670413905197,0.11563126666476772,1.5265941619873047
26,0.10496891187539004,0.5132851620749183,0.28796753615048976,0.10718852002756424,1.5485286712646484
27,0.10107964290302013,0.5009088971531689,0.27962294409829247,0.10327601264956786,1.5583038330078125
28,0.09824079720272846,0.498408759688034,0.27134296045562395,0.10044077839373414,1.5282630920410156
29,0.09348006169040389,0.5008408269745733,0.26652909407515296,0.09575656940827816,1.5306472778320312
30,0.09057960752670458,0.5019526917743459,0.26118563415633195,0.09284032487561886,1.527547836303711
31,0.09470165802455814,0.49343552066649576,0.25113360784116323,0.09679033073238016,1.5375614166259766
32,0.10199130645088032,0.4769033559617224,0.24067648805448794,0.10389267378464109,1.53350830078125
33,0.10533942983369161,0.4645614850356446,0.23563558683871763,0.1071788801663035,1.5828609466552734
34,0.10450671511105031,0.46007692347192014,0.23264933424748727,0.10640296158528402,1.542806625366211
35,0.10439975167777828,0.45433939643364823,0.2259242512638769,0.10633145423194337,1.535654067993164
36,0.10652348146703296,0.442635495412718,0.2175929302338085,0.10843360151235774,1.547098159790039
37,0.10760900235930478,0.43171301599983425,0.2127362041717521,0.10950147233092758,1.5413761138916016
38,0.10647745646505459,0.4252261745006644,0.21052599403687078,0.10833893472915693,1.542806625366211
39,0.10499654923533433,0.41600347963353695,0.2080476523286518,0.10680870700231541,1.5654563903808594
40,0.10277447500676014,0.4041632314253272,0.20518503476867808,0.1045577120884851,1.5687942504882812
41,0.09709574133309934,0.4014977994756756,0.2026963361203218,0.09890572552832406,1.5385150909423828
42,0.08828590471978182,0.4053278055522384,0.20159293133188935,0.09015978514200321,1.538991928100586
43,0.08018855471781242,0.39965265162423624,0.20283748739421445,0.08211593109970508,1.531839370727539
44,0.07441544527764411,0.3852139554887029,0.2056405215582915,0.0763856632058676,1.5337467193603516
45,0.06893561829800764,0.37759903284818686,0.2080351015699131,0.07096195638216266,1.5583038330078125
46,0.06383529021474854,0.3784247782971105,0.2087494596328453,0.06590007301690712,1.5783309936523438
47,0.06249654806436605,0.3761211930975824,0.2073588160155834,0.06446441022562074,1.5401840209960938
48,0.06618419895325939,0.36821541192415214,0.20394409071621908,0.06792459528826739,1.5482902526855469
49,0.0725819751711991,0.359802510108849,0.19851156537918066,0.07411652931760883,1.539468765258789
50,0.07915989754008335,0.35101035140377146,0.19104132948793745,0.08057286126891429,1.554250717163086
51,0.08435637332607586,0.34101391519833163,0.18272154525038867,0.08569662369960422,1.809835433959961
52,0.0876391728864273,0.33430344121510275,0.17525036637813118,0.08893703041100917,1.5909671783447266
53,0.08930611864586512,0.33134911411620543,0.1691770134804993,0.09058606522939412,1.5575885772705078
54,0.08964480305486225,0.32582449863078633,0.16411894371281702,0.09088443885135293,1.5485286712646484
55,0.08826920800234328,0.3179987769817879,0.15991253100163882,0.0894420731069203,1.5568733215332031
56,0.08436694620003946,0.31524335471481807,0.1571830431757083,0.08547635721508257,1.5501976013183594
57,0.07808504974888693,0.31713863707967566,0.15660896038832198,0.07912963195909373,1.5354156494140625
58,0.07118387045595445,0.3161893059301229,0.15756748242052557,0.07214559413301652,1.5316009521484375
59,0.06501098988973512,0.31179227456329695,0.15902864983344137,0.06588233512706176,1.5668869018554688
60,0.059161150470594684,0.31014879319595445,0.16075280313109133,0.059968639556205725,1.5609264373779297
61,0.054083222926588806,0.31233873371429305,0.16187841143843723,0.05487061007898716,1.5480518341064453
62,0.052119814404586046,0.31297193606911466,0.16131959852574282,0.05290445132735693,1.5766620635986328
63,0.054142627357212446,0.3090473265165028,0.15967691267700432,0.05489766809525092,1.562356948852539
64,0.05879245069238466,0.3010602941904573,0.15770258781253624,0.05949953659312124,1.5532970428466797
65,0.06454529928480968,0.2891794787777604,0.15498243626814057,0.0652115836161807,1.6269683837890625
66,0.06990696126623919,0.27545599914836394,0.15133544322824138,0.0705153357058377,1.6925334930419922
67,0.07371099136795028,0.26495991405504005,0.1470538496502037,0.07424465077279399,1.5473365783691406
68,0.07552592136714319,0.2596354534430381,0.1424154910605148,0.07598518898509875,1.546621322631836
69,0.07517880851451682,0.2569673119276546,0.13835768642144597,0.07556186149293867,1.538991928100586
70,0.07266593506266164,0.2544715430045285,0.1356926812455309,0.07295390057622393,1.5511512756347656
71,0.0684217410884809,0.2510423288157568,0.1339550497971152,0.0686100408781982,1.554250717163086
72,0.06276596079026403,0.2488437524396504,0.13278238188909147,0.06286656372094747,1.556396484375
73,0.0559118198239248,0.25152618592696513,0.13244124125554177,0.055929627450056085,1.5347003936767578
74,0.04929292515849016,0.2556170880778995,0.13299706488582153,0.04924864545260637,1.5535354614257812
75,0.04530480114155309,0.254521025134242,0.1339364891556783,0.04523113417326895,1.5439987182617188
76,0.04471171812584277,0.2501942970603417,0.1344770794940986,0.044623912659366154,1.5401840209960938
77,0.0469892711379262,0.24718720918647613,0.13380253304419867,0.046884865960601194,1.5535354614257812
78,0.05198001860549957,0.2419400828818433,0.13129265704888052,0.05186556617994264,1.5611648559570312
79,0.05803525329199605,0.23142590575776478,0.12733036150010663,0.057904183142567456,1.5368461608886719
80,0.0624667665163568,0.22069846302987714,0.12356738991982434,0.06231998376604637,1.5282630920410156
81,0.06425985822463952,0.212780831251456,0.1209492285181498,0.0641070872739184,1.53350830078125
82,0.0638566167062507,0.2059953658023966,0.11869088556416153,0.06369599622861975,1.5294551849365234
83,0.06145073932650127,0.2037293296902757,0.1168802075430451,0.061278940730195394,1.5299320220947266
84,0.05715590258244236,0.20973246787944705,0.11634681428071819,0.056977287430663506,1.5931129455566406
85,0.05181079424352325,0.21845611786670416,0.1162102493710523,0.051606522907929823,1.5649795532226562
86,0.04662457126092456,0.22330359038965555,0.11597363077700279,0.04633677906584696,1.544952392578125
87,0.042790885053496173,0.224047990283469,0.11663260006414426,0.04238274380539478,1.5344619750976562
88,0.041369054704139395,0.22226002935269268,0.11724945524183325,0.04086220843911518,1.5289783477783203
